filename,caption,date
image(1).JPG,Scougal,1714
image(2).jpg,elegant epistles,1814
image(3).jpg,epistles elegant,1791
image(4).JPG,GF Secretary guide,?
image(5).JPG,New Academy,1713
image(6).JPG,New universal,1790
image(7).jpg,Familiar Letters of Love, Gallantry and Several Other Occasions,1718
image(8).jpg,Familiar Letters of Love, Gallantry and Several Other Occasions,1718
image(9).jpg,Everyman His Own Letter-Writter,1782
image(10).jpg,Young Secretary,1687-1719
image(11).jpg,Young Secretary,1719
image(12).jpg,Young Secretary,1724-1754-1764
image(13).jpg,Cooke,1791
image(14).jpg,Cooke,1794
image(15).jpg,Court Letter Writter, 1773
image(16).jpg,Hepistolae Ho-Flianae, 1713
image(17).jpg,Hepistolae Ho-Flianae, 1737
image(18).jpg,Everyman His Own Letter-Writter,1782
image(19).jpg,British Letter Writter,1765
image(20).jpg,Ladies Complete Letter Writer,1763
image(21).jpg,Ladies Polite Secretary,1775
image(22).jpg,New Academy of Compliments,1748
image(23).jpg,Royal Letter Writer,1800
image(24).jpg,Universal Letter Writer,1800
